"gene","avg_log2FC","p_val_adj","method_support","pct.1","pct.2","specificity","pct1","pct2","spec","coexpr","coexpr_flag","score","coexpr_cor","coexpr_n","coexpr_pct","specificity_score","n_donors","n_donors_evaluable"
"DLX5",6.39805253281895,4.91346264061368e-52,1,0.386605783866058,0.0107719928186715,0.375833791047386,0.386605783866058,0.0107719928186715,0.375833791047386,0.528923225829666,TRUE,0.548145557830426,0.528923225829666,254,38.6605783866058,8.84980410939468,3,3
"DLX1",6.89898824433164,9.96653046301958e-45,1,0.336377473363775,0.00538599640933573,0.330991476954439,0.336377473363775,0.00538599640933573,0.330991476954439,0.486301158296418,TRUE,0.446422867607359,0.486301158296418,221,33.6377473363775,8.09490210339018,3,3
"ARX",7.24992420863703,3.87377815456407e-41,1,0.312024353120244,0.00359066427289048,0.308433688847353,0.312024353120244,0.00359066427289048,0.308433688847353,0.498987987950747,TRUE,0.43202121336218,0.498987987950747,205,31.2024353120244,7.76390574915809,3,3
"DLX2",6.5839247594593,5.48070907437679e-40,1,0.308980213089802,0.00538599640933573,0.303594216680466,0.308980213089802,0.00538599640933573,0.303594216680466,0.449047525348952,TRUE,0.345829037502392,0.449047525348952,203,30.8980213089802,6.92107653352698,3,3
"RASD1",6.85072536530581,6.55360333401866e-35,1,0.278538812785388,0.00538599640933573,0.273152816376052,0.278538812785388,0.00538599640933573,0.273152816376052,0.442272110007675,TRUE,0.30276112816479,0.442272110007675,183,27.8538812785388,6.291751110444,3,3
"DLX6-AS1",6.14621333666606,4.60975795091486e-38,1,0.30441400304414,0.00897666068222621,0.295437342361914,0.30441400304414,0.00897666068222621,0.295437342361914,0.446928964431111,TRUE,0.310362537425331,0.446928964431111,200,30.441400304414,6.26117847519163,3,3
"DLX6",6.64263352269223,1.76606110459724e-35,1,0.278538812785388,0.00359066427289048,0.274948148512498,0.278538812785388,0.00359066427289048,0.274948148512498,0.456685245964785,TRUE,0.305124017977543,0.456685245964785,183,27.8538812785388,6.1407354291306,3,3
"SCGN",7.2622724495957,2.07090131742163e-24,1,0.208523592085236,0.00359066427289048,0.204932927812345,0.208523592085236,0.00359066427289048,0.204932927812345,0.344523033329945,TRUE,0.162295173533568,0.344523033329945,137,20.8523592085236,4.5903113948811,3,3
"MEF2C",4.29867929100744,8.12743103890365e-29,1,0.289193302891933,0.0305206463195691,0.258672656572364,0.289193302891933,0.0305206463195691,0.258672656572364,0.453006389134224,TRUE,0.187762765191662,0.453006389134224,190,28.9193302891933,3.77897006988706,3,3
"RALYL",3.32864582789975,6.90798271856394e-29,1,0.32572298325723,0.052064631956912,0.273658351300318,0.32572298325723,0.052064631956912,0.273658351300318,0.440699232211746,TRUE,0.158806491533393,0.440699232211746,214,32.572298325723,3.20067170231029,3,3
"ECEL1",3.55555023807031,4.53642474431612e-26,1,0.277016742770167,0.0323159784560144,0.244700764314153,0.277016742770167,0.0323159784560144,0.244700764314153,0.377916330858152,TRUE,0.119954425452989,0.377916330858152,182,27.7016742770167,2.92070520137791,3,3
"LINC01833",2.77509006121502,2.33625395181404e-15,1,0.254185692541857,0.0628366247755835,0.191349067766273,0.254185692541857,0.0628366247755835,0.191349067766273,0.345127411949129,TRUE,0.0640448037738518,0.345127411949129,167,25.4185692541857,1.73856532815198,3,3
"TAC1",2.17178658314551,1.51818777161385e-12,1,0.293759512937595,0.0987432675044883,0.195016245433107,0.293759512937595,0.0987432675044883,0.195016245433107,0.2067561027412,TRUE,0.0328978642955692,0.2067561027412,193,29.3759512937595,1.44579621313589,3,3
"RGS2",1.83650303217999,1.95975602820013e-10,1,0.249619482496195,0.0807899461400359,0.168829536356159,0.249619482496195,0.0807899461400359,0.168829536356159,0.233558125320009,TRUE,0.0250783961548804,0.233558125320009,164,24.9619482496195,1.00973812679019,3,3
"GADD45G",1.38763409150158,1.23545454740908e-08,1,0.251141552511416,0.0879712746858169,0.163170277825599,0.251141552511416,0.0879712746858169,0.163170277825599,0.158408892322594,TRUE,0.0124589177746349,0.158408892322594,165,25.1141552511416,0.73869224748014,3,3
"ROBO2",1.23379140720078,0.000364590803777221,1,0.210045662100457,0.0879712746858169,0.12207438741464,0.210045662100457,0.0879712746858169,0.12207438741464,0.0777619374801345,TRUE,0.00372062317667533,0.0777619374801345,138,21.0045662100457,0.465586546343548,3,3
"ISL1",6.46739388545513,9.41929454660415e-31,1,0.252663622526636,0.00538599640933573,0.2472776261173,0.252663622526636,0.00538599640933573,0.2472776261173,0.439564553830752,TRUE,0.244925283141582,0.439564553830752,166,25.2663622526636,5.22678459661476,2,3
"SEMA3C",5.4620370103289,2.89352399466889e-22,1,0.202435312024353,0.00718132854578097,0.195253983478572,0.202435312024353,0.00718132854578097,0.195253983478572,0.471043671587087,TRUE,0.156669447434467,0.471043671587087,133,20.2435312024353,3.25923250477564,2,3
"LHFPL6",1.71430818611413,3.00478370884611e-11,1,0.269406392694064,0.0879712746858169,0.181435118008247,0.269406392694064,0.0879712746858169,0.181435118008247,0.251912182944234,TRUE,0.0281895946651761,0.251912182944234,177,26.9406392694064,1.03577448540723,2,3
"PRKCB",1.52484571780585,1.82944234591578e-06,1,0.200913242009132,0.0682226211849192,0.132690620824213,0.200913242009132,0.0682226211849192,0.132690620824213,0.18218570618955,TRUE,0.0114527603392463,0.18218570618955,132,20.0913242009132,0.616884512088297,1,3
