"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","stage","reference","specificity","n_donors","donors_positive","donor_support","median_donor_effect"
1.2181240985904e-13,3.66626451396386,0.191,0.013,4.08534460185247e-09,"NXPH1","identity","migrating+mature",0.178,NA,NA,NA,NA
2.45748543146007e-13,1.94061410222239,0.443,0.206,8.24191464003077e-09,"DLK1","identity","migrating+mature",0.237,NA,NA,NA,NA
2.09920105256768e-12,4.586618912755,0.167,0.009,7.04030049010149e-08,"SLITRK6","identity","migrating+mature",0.158,NA,NA,NA,NA
6.00872209095408e-12,2.09899070008091,0.331,0.114,2.01520521486418e-07,"RAB31","identity","migrating+mature",0.217,NA,NA,NA,NA
9.23053918898014e-12,0.30213270118761,0.994,0.997,3.09573823320016e-07,"PSMA7","identity","migrating+mature",-0.003,NA,NA,NA,NA
1.58571642538479e-11,0.514845943992007,0.956,0.946,5.31817574745549e-07,"PPP1R14B","identity","migrating+mature",0.01,NA,NA,NA,NA
2.45638273068464e-11,0.762958620981672,0.798,0.655,8.23821640217014e-07,"AES","identity","migrating+mature",0.143,NA,NA,NA,NA
2.9014281983442e-11,2.65133824878591,0.188,0.025,9.73080989160676e-07,"VWC2","identity","migrating+mature",0.163,NA,NA,NA,NA
3.50310043099693e-11,1.6514003078648,0.39,0.177,1.17486982254775e-06,"FUT8","identity","migrating+mature",0.213,NA,NA,NA,NA
3.70311117514013e-11,1.34123874376623,0.472,0.241,1.2419494259185e-06,"NOS1AP","identity","migrating+mature",0.231,NA,NA,NA,NA
3.88837519045587e-11,1.11419733195595,0.645,0.424,1.30408327137509e-06,"NES","identity","migrating+mature",0.221,NA,NA,NA,NA
4.39648937405827e-11,0.596702654010953,0.959,0.968,1.47449460627166e-06,"SYT1","identity","migrating+mature",-0.00900000000000001,NA,NA,NA,NA
4.43720651709512e-11,0.3520652860686,0.977,0.984,1.48815032170336e-06,"PAFAH1B3","identity","migrating+mature",-0.00700000000000001,NA,NA,NA,NA
